"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.355428183962654,0.0365895822174343,0.0951517743747197,0.126177476821977,0.0710861857413151,0.00196150337660473,0.133910326672053,0.122499657990843,0.0318744298698268,0.0116935778220666,0.00854385605386482,4.71515234760752e-07,4.71515234760752e-06,3.185219247458e-05,0.000758196497495288,2.12849545942328e-06,4.89873339527246e-08,5.65818281712902e-07,0.000116935778220666,9.43030469521503e-05,5.94109195798547e-05,0.000425306741754198,0,4.14933406589461e-05,6.47953727193041e-06,2.49942648565321e-06,3.60003654839794e-06,0.000801575899093278,1.98036398599516e-05,9.83839274368444e-06,9.70153409011074e-07,5.18666758236827e-06,2.82909140856451e-07,1.06470070308785e-06,6.41260719274622e-05,1.55804006141e-05,2.19153918000439e-07,2.16897007989946e-06,7.82715289702847e-05,4.62084930065536e-05,0.000297997628368795,7.54424375617203e-06,1.41454570428225e-05,1.98036398599516e-05,0.000216897007989946,1.37776415000043e-07,1.60315179818656e-05,0,7.54424375617203e-06,4.71515234760752e-06,0.00110711777121824,0,1.30746829259072e-06,1.22593961037795e-06,1.77373483498349e-08,2.93946035773607e-07,1.98036398599516e-06,0.000282909140856451,2.35757617380376e-05,2.45187922075591e-05,1.59000358719018e-06,0.000104676382116887,0.000344206121375349,1.19045336008927e-05
0.356772734799557,0.0362803758314394,0.0942347424193231,0.12665149381157,0.0710861857413151,0.00188469484838646,0.134284507947535,0.121657052463346,0.0323225166498278,0.0118735775448347,0.00819842259048111,2.57881469330632e-07,2.17808471507003e-06,3.185219247458e-05,0.000686971272236866,2.12849545942328e-06,4.89873339527246e-08,1.45536042770543e-07,0.000116180922099274,0,6.21949299967533e-05,0.000432537467704693,0,5.55984980274006e-05,6.47953727193041e-06,2.49942648565321e-06,3.60003654839794e-06,0.000796020010228922,1.69622536354782e-05,9.83839274368444e-06,9.70153409011074e-07,6.38907713843819e-06,8.62550569727965e-09,1.06470070308785e-06,5.77235312816635e-05,1.55804006141e-05,2.19153918000439e-07,8.97352687083835e-07,8.57536156015841e-05,5.35766567772122e-05,0.000318513429377312,2.82704227257969e-06,1.38181059597552e-05,2.92127701499902e-05,8.57799541857678e-05,1.37776415000043e-07,2.63857278774105e-05,0,1.1098493687091e-05,2.03485270799578e-06,0.00111479700282059,0,1.30746829259072e-06,7.04967897292549e-06,1.77373483498349e-08,2.93946035773607e-07,0,0.000277992490137003,7.96150430270833e-07,2.63857278774105e-05,1.59000358719018e-06,0.000113081690903188,0.000257260846804752,9.04083246044962e-06
0.378797660735481,0.0333092122355457,0.0954800998456408,0.123016977006277,0.0513832450110832,0.00163707207862199,0.108444196653225,0.127369885423422,0.0293348175938044,0.0130587252514355,0.0338769828986515,1.02719680485274e-06,2.17808471507003e-06,3.185219247458e-05,0.000624807953536506,1.7659497105841e-06,1.10478708196021e-08,4.89913533786765e-08,9.96249632129852e-05,0,5.4898099956945e-05,0.000372204583201377,7.59822244182921e-07,5.54048188715033e-05,5.69724488128897e-06,2.28084199926606e-06,3.19120043363971e-06,0.000796020010228922,1.81458286375998e-05,8.12821522215277e-06,9.23208661620465e-07,5.82314613326383e-06,8.62550569727965e-09,9.55001926185515e-07,5.00997880717191e-05,1.23923485955555e-05,1.8700883130421e-07,5.36252767312445e-07,7.18621306769817e-05,4.94129328743052e-05,0.000253267263625213,2.41774159984157e-06,1.22263479096424e-05,2.74974076367055e-05,8.57799541857678e-05,1.37776415000043e-07,1.71127913651927e-05,0,1.00817222935872e-05,2.03018923090914e-06,0.00101008955934522,5.73943402669549e-06,1.05043975865958e-06,5.73115277614595e-06,7.17693660980464e-09,2.73243101329319e-07,1.89608684713388e-06,0.000243460176417365,2.99511326486059e-07,2.17898816904203e-05,1.46547348939891e-06,9.37230540407668e-05,0.000220824313284634,3.97708011001807e-06
0.357567333850165,0.0360492798972718,0.0943698426630153,0.125134411371158,0.0715323407385656,0.00191570780605921,0.132683998784199,0.122492055776594,0.0328407052467293,0.0117962303328769,0.00868202552499741,2.57881469330632e-07,1.69865716793428e-06,8.49328583967137e-06,0.000682293962453601,2.18938034978195e-06,4.89873339527246e-08,1.88739685326031e-07,0.000116074906475509,4.71849213315076e-05,6.03023294616668e-05,0.000447313054222693,5.19034134646584e-07,5.45457690592228e-05,6.28503152135682e-06,2.30262416097757e-06,3.58605402119458e-06,0.000915387473831248,2.07613653858634e-05,9.35205140790482e-06,1.37779970288002e-06,5.99248500910147e-06,7.54958741304122e-10,1.00032033222796e-06,5.86036722937325e-05,1.43442160847783e-05,2.17050638124935e-07,6.70025882907409e-07,7.63452027143794e-05,5.61500563844941e-05,0.000292546512255347,2.84053226415676e-06,1.43442160847783e-05,2.89715416975457e-05,8.57799541857678e-05,1.03806826929317e-07,2.17994336551565e-05,0,1.14187509622248e-05,2.79334734282525e-06,0.00115225577891542,5.26583722059625e-06,1.2456819231518e-06,6.69082184480778e-06,1.77373483498349e-08,2.83109527989046e-07,2.00064066445592e-06,0.000273672543722744,3.01983496521649e-07,2.80278432709155e-05,1.62316129380386e-06,0.000134948875008112,0.000275559940576005,8.88649656083373e-08
0.365994089872987,0.0361416779733877,0.0955513491539169,0.125685307569723,0.0624612112732691,0.00201210924865035,0.131635810750566,0.123873455639659,0.0314308629552206,0.0117293572314688,0.00873503351546786,2.57881469330632e-07,2.17808471507003e-06,3.185219247458e-05,0.00064749866342824,2.15515019049753e-06,4.89873339527246e-08,8.58245651083086e-08,0.000115338679442777,0,6.19844081337785e-05,0.000436799356087342,6.77060458076657e-07,5.74833864969872e-05,6.55127513660089e-06,2.48891238814095e-06,3.92885786940257e-06,0.000796020010228922,1.89250093602471e-05,9.6409594805e-06,9.70153409011074e-07,6.3986981319639e-06,8.62550569727965e-09,1.1061832836182e-06,5.92094138619432e-05,1.55437823473937e-05,2.19329444165678e-07,7.05668646446093e-07,7.8195714876459e-05,5.74833864969872e-05,0.00030801482811093,3.29947772527498e-06,1.39989401754441e-05,3.14690072063798e-05,8.57799541857678e-05,9.53606278981207e-08,2.35826832792053e-05,0,1.17007490430994e-05,2.46984026256133e-06,0.0011366986845456,4.91107233675322e-06,1.40180123010237e-06,6.4749866342824e-06,1.77373483498349e-08,2.67009758114738e-07,1.77370767890505e-06,0.000274638608346588,7.96150430270833e-07,3.2422613485361e-05,1.66881098821711e-06,0.000122061603709595,0.000261192759812953,1.12427734987319e-05
0.355193716567329,0.0363926822441979,0.0939022231016913,0.125620180920045,0.0710861857413151,0.00199126192581593,0.13661005031062,0.121903158658522,0.0318601908130549,0.0118432673587814,0.00861931947888897,2.57881469330632e-07,2.17808471507003e-06,3.185219247458e-05,0.000792806712464143,2.12849545942328e-06,4.89873339527246e-08,1.45536042770543e-07,0.000137681538870702,0,5.91689257956734e-05,0.000408777626771071,1.1378639576091e-06,5.30054960252908e-05,6.47953727193041e-06,2.49942648565321e-06,3.60003654839794e-06,0.000796020010228922,1.97229752652245e-05,9.83839274368444e-06,1.80161793288108e-06,7.39611572445918e-06,8.62550569727965e-09,1.06470070308785e-06,7.18750733223084e-05,1.55804006141e-05,2.19153918000439e-07,1.42232994701138e-06,7.83229690820933e-05,5.49967579511067e-05,0.00029906857685826,1.80161793288108e-06,1.38181059597552e-05,2.90155309190322e-05,8.57799541857678e-05,1.37776415000043e-07,2.07660172263662e-05,0,6.63753975271977e-06,1.80161793288108e-06,0.0011207011762485,3.79287985869701e-06,1.30746829259072e-06,5.68931978804552e-06,1.77373483498349e-08,2.93946035773607e-07,2.27572791521821e-06,0.000267587674031074,7.96150430270833e-07,2.89207089225647e-05,1.32750795054395e-06,0.000108855651944604,0.000280388643554177,0.000136944085611823
0.35744273041751,0.0370323549531654,0.0967955671665858,0.125777410173411,0.0710861857413151,0.00191318048607146,0.133543786403998,0.119999983953096,0.0311602168275995,0.0116495643458807,0.0089502750462254,2.57881469330632e-07,2.17808471507003e-06,3.185219247458e-05,0.000704656575067904,2.12849545942328e-06,4.89873339527246e-08,1.45536042770543e-07,0.000111760048196254,0,5.58800240981268e-05,0.000423362216472249,0,4.35674764154887e-05,6.47953727193041e-06,2.49942648565321e-06,3.60003654839794e-06,0.000796020010228922,1.79952619977019e-05,9.83839274368444e-06,9.70153409011074e-07,6.38907713843819e-06,8.62550569727965e-09,1.06470070308785e-06,6.34569765182118e-05,1.55804006141e-05,2.19153918000439e-07,8.97352687083835e-07,7.67166432533606e-05,4.83030716780418e-05,0.000289818430068251,3.29299052084532e-06,1.38181059597552e-05,2.65193334702975e-05,8.57799541857678e-05,1.37776415000043e-07,1.89423810502125e-05,0,1.1098493687091e-05,2.03485270799578e-06,0.00104561943397173,0,1.30746829259072e-06,9.47119052510624e-06,1.77373483498349e-08,2.93946035773607e-07,0,0.000263299096597954,7.96150430270833e-07,2.65193334702975e-05,1.59000358719018e-06,0.000116495643458807,0.000252880787020337,5.31350378919493e-05
0.357817821792708,0.0361217505050809,0.094901875383761,0.125570411565376,0.0710861857413151,0.0018829442861203,0.134903548014599,0.121015559139128,0.0318821127796116,0.0117491644204838,0.008342991447955,2.57881469330632e-07,2.17808471507003e-06,3.185219247458e-05,0.000747497484374362,2.12849545942328e-06,4.89873339527246e-08,1.45536042770543e-07,9.85166140779307e-05,0,6.1035633150876e-05,0.000422537558859628,0,4.58092497981869e-05,6.47953727193041e-06,2.49942648565321e-06,3.60003654839794e-06,0.000796020010228922,1.7665282104061e-05,9.83839274368444e-06,9.70153409011074e-07,6.87831669501701e-06,8.62550569727965e-09,1.06470070308785e-06,5.01864461269923e-05,1.55804006141e-05,2.19153918000439e-07,9.86118320036704e-07,7.93608414729348e-05,4.39303455803732e-05,0.000292072031064944,3.29299052084532e-06,1.38181059597552e-05,3.31132121156493e-05,8.57799541857678e-05,1.37776415000043e-07,2.3324620799262e-05,0,1.1098493687091e-05,2.03485270799578e-06,0.00108411830616112,0,1.30746829259072e-06,1.15543653254014e-05,1.77373483498349e-08,2.93946035773607e-07,6.74444594793746e-06,0.000283754132462952,7.96150430270833e-07,3.12607049465555e-05,1.59000358719018e-06,0.000105321396137228,0.000275834075095238,1.1074649150622e-05
0.346918990267103,0.0350837924530476,0.0924681870238567,0.124566124800049,0.0877094811326189,0.00195946713168617,0.133150456996008,0.12083380645398,0.0320046298175407,0.0121300346247239,0.008397716278655,2.57881469330632e-07,2.17808471507003e-06,3.185219247458e-05,0.000641025675937332,2.12849545942328e-06,4.89873339527246e-08,1.45536042770543e-07,0.000368566436674303,0,6.34494118831711e-05,0.000399358063029371,0,6.34494118831711e-05,6.47953727193041e-06,2.49942648565321e-06,3.60003654839794e-06,0.000796020010228922,2.14608304898961e-05,9.83839274368444e-06,9.70153409011074e-07,1.39961937977583e-05,8.62550569727965e-09,1.06470070308785e-06,2.33269896629306e-05,1.55804006141e-05,2.19153918000439e-07,9.33079586517222e-07,9.70402769977911e-05,4.29216609797922e-05,0.000289254671820339,5.59847751910333e-06,1.38181059597552e-05,2.98585467685511e-05,8.57799541857678e-05,1.37776415000043e-07,2.61262284224822e-05,0,1.30631142112411e-05,1.86615917303444e-06,0.00112995937927236,0,1.86615917303444e-06,8.397716278655e-06,1.77373483498349e-08,2.93946035773607e-07,9.33079586517222e-07,0.000157690450121411,1.11969550382067e-05,2.05277509033789e-05,2.79923875955167e-06,7.09140485753089e-05,0.000297652388098994,1.14149121821505e-06
0.3805,0.0374,0.1017,0.0392,0.0809,0.0019,0.1451,0.1299,0.0344,0.0124,0.0086,2.57881469330632e-07,2.17808471507003e-06,3.185219247458e-05,0.000746,2.31e-06,4.89873339527246e-08,1.45536042770543e-07,0.000129,0,6.54e-05,0.000455,5.6e-07,6.87e-05,7e-06,2.77e-06,3.8e-06,0.000796020010228922,2.08e-05,1.05e-05,9.70153409011074e-07,7.09e-06,8.62550569727965e-09,1.19e-06,6.51e-05,1.7e-05,2.4e-07,5.8e-07,9.37e-05,6.29e-05,0.000317,2.8e-06,1.58e-05,3.14e-05,8.57799541857678e-05,1.37776415000043e-07,2.26e-05,0,1.26e-05,2.03485270799578e-06,0.0012,4.85e-06,1.41e-06,7.19e-06,1.77373483498349e-08,3.2e-07,2.18e-06,0.000297,5.3e-07,3.09e-05,1.82e-06,0.000132,3e-04,0.0229405082081635
0.356471205976733,0.0366275170586735,0.0955768144105555,0.125935951198051,0.0710861857413151,0.00201525939205606,0.134934759294189,0.121768082185103,0.030643309674742,0.0113574430602831,0.00878094221591526,4.16786901294791e-08,3.41007464695738e-06,3.185219247458e-05,0.000700012545583752,1.69367040798883e-06,4.73621478744081e-09,4.92566337893844e-08,0.00011958942338288,0,5.92026848430101e-05,0.000439520732274507,4.92566337893844e-07,5.2808794879965e-05,6.70932186788865e-06,2.59070948873012e-06,3.64025468562701e-06,0.000796020010228922,1.7523994713531e-05,1.00644564233117e-05,9.70153409011074e-07,6.55965748060552e-06,8.62550569727965e-09,1.10637977434617e-06,5.87053822903288e-05,1.40902389926364e-05,2.30180038669623e-07,6.4412521109195e-07,8.26469480408421e-05,5.86343390685172e-05,0.000302407314178096,2.65228028096685e-06,1.45638604713805e-05,3.26798820333416e-05,8.57799541857678e-05,1.16510883771044e-07,2.17865880222277e-05,8.80935950463991e-08,1.16984505249788e-05,2.20233987615998e-06,0.00110353804547371,4.62065114662725e-06,1.32140392569599e-06,6.97928611077278e-06,7.57794365990530e-09,3.08801204141141e-07,2.06972586211163e-06,0.000260491813309245,4.81199422403986e-07,2.78726240240892e-05,1.71735148192604e-06,0.000114379587116696,0.000273516403974707,6.24269137463607e-05
0.356056206753593,0.036673262656078,0.0953217571125996,0.126920129636113,0.0647287873511977,0.0020108055242236,0.135777249207098,0.124957200433895,0.0322686410315882,0.011825451535315,0.0086656142829636,2.57881469330632e-07,2.17808471507003e-06,3.185219247458e-05,0.000711442144999111,2.12849545942328e-06,4.89873339527246e-08,1.45536042770543e-07,0.000116180922099274,0,5.74515864063885e-05,0.000418917817546583,0,6.51117979272403e-05,6.47953727193041e-06,2.49942648565321e-06,3.60003654839794e-06,0.000796020010228922,1.67567127018633e-05,9.83839274368444e-06,9.70153409011074e-07,7.6602115208518e-06,8.62550569727965e-09,1.06470070308785e-06,5.77235312816635e-05,1.55804006141e-05,2.19153918000439e-07,8.97352687083835e-07,8.04322209689439e-05,5.35766567772122e-05,0.000318856304555456,3.8301057604259e-06,1.38181059597552e-05,2.96833196433007e-05,8.57799541857678e-05,1.37776415000043e-07,2.29806345625554e-05,0,1.1098493687091e-05,2.03485270799578e-06,0.00111743335560426,0,1.30746829259072e-06,5.74515864063885e-06,1.77373483498349e-08,2.93946035773607e-07,0,0.000261404718149068,2.96833196433007e-05,2.75984848742104e-05,1.59000358719018e-06,0.000111073067052351,0.000272895035430345,1.85900633602465e-05
0.356308464485195,0.0351364868155815,0.0950709279222875,0.128865345076119,0.0710861857413151,0.00200483146046419,0.133787799212196,0.120972872394071,0.0324505090404892,0.0113221041258769,0.008539607642234,2.57881469330632e-07,9.37610311633873e-07,3.185219247458e-05,0.000637942702229321,3.08859867361746e-06,4.89873339527246e-08,5.88304509260469e-08,8.3557624830901e-05,0,5.43262445270215e-05,0.000369712615038376,0,5.30393284130142e-05,6.47953727193041e-06,2.49942648565321e-06,3.60003654839794e-06,0.000796020010228922,1.89250093602471e-05,9.83839274368444e-06,9.70153409011074e-07,6.38907713843819e-06,1.28691611400728e-08,1.06470070308785e-06,4.14570833869487e-05,1.55804006141e-05,2.19153918000439e-07,8.97352687083835e-07,7.90850939634042e-05,5.35766567772122e-05,0.000278157725784716,3.12536770544624e-06,1.38181059597552e-05,2.95071480425954e-05,0.000130897753310454,1.37776415000043e-07,2.12363026645378e-05,0,1.1098493687091e-05,2.03485270799578e-06,0.00100811493016556,0,1.30746829259072e-06,7.04967897292549e-06,2.20614190972676e-08,2.93946035773607e-07,0,0.000269792771043668,7.96150430270833e-07,2.75984848742104e-05,1.59000358719018e-06,0.000104975585871165,0.000271797344591451,7.65624593723757e-08
0.365351325147992,0.0366290531639375,0.0986166815952165,0.126792876336707,0.0710861857413151,0.00197233363190433,0.125665828547047,0.122566447125483,0.0284579566889053,0.011834001791426,0.00798325517675562,1.50273038621282e-07,6.15180251855874e-05,3.185219247458e-05,0.000403858791294696,1.09887159491813e-06,4.89873339527246e-08,3.47506401811715e-08,5.93578502554065e-05,0,4.29217366562037e-05,0.000180327646345539,0,2.73309088992457e-05,3.65351325147992e-06,6.9501280362343e-07,1.4651621265575e-06,0.000796020010228922,1.89250093602471e-05,4.03858791294696e-06,9.70153409011074e-07,6.38907713843819e-06,8.62550569727965e-09,4.03858791294696e-07,2.93971631802883e-05,1.55804006141e-05,1.31488908793622e-07,1.01434301069366e-06,7.90850939634042e-05,2.77065914957989e-05,0.000132428115285005,1.28671289319473e-06,7.49486780123645e-06,2.95458395229284e-05,8.57799541857678e-05,1.37776415000043e-07,1.05191127034898e-05,1.59665103535112e-07,5.22198809208956e-06,2.03485270799578e-06,0.000566341514303958,0,6.4805247905428e-07,7.04967897292549e-06,1.77373483498349e-08,2.93946035773607e-07,0,0.000133367321776388,7.96150430270833e-07,2.66734643552776e-05,7.13796933451091e-07,8.92246166813863e-05,0.000147455419147133,2.88034471518372e-06
0.359377156959876,0.0366795708148753,0.0931826372749635,0.126500383627031,0.0716312765427211,0.00178420851378041,0.133111345699144,0.122706592892467,0.0302939824497664,0.0117100421930746,0.00847029515489439,2.57881469330632e-07,2.17808471507003e-06,3.185219247458e-05,0.00064935799330482,8.26370259014087e-07,4.89873339527246e-08,1.45536042770543e-07,0.000130528938639725,2.81717133754802e-05,5.54043696384445e-05,0.000328200460824345,3.28669989380603e-07,3.45573017405891e-05,6.12265237360437e-06,2.47911077704226e-06,3.31487160718151e-06,0.000796020010228922,2.06592564753522e-05,9.738022256791e-06,1.18321196177017e-06,6.12265237360437e-06,8.62550569727965e-09,1.06113453714309e-06,5.54043696384445e-05,1.55804006141e-05,2.34764278129002e-07,6.10387123135405e-07,4.22575700632204e-05,4.27270986194784e-05,0.000264344577173256,1.27711767302177e-06,1.41234189722408e-05,3.04817938722696e-05,2.86412419317382e-05,1.37776415000043e-07,1.86402836834428e-05,0,1.0911843647436e-05,2.03485270799578e-06,0.00124143350274616,1.62456880465269e-06,1.27711767302177e-06,4.31027214644848e-06,1.77373483498349e-08,3.19279418255443e-07,2.25373707003842e-06,0.000272326562629642,1.03296282376761e-07,2.5871023449816e-05,1.71847451590429e-06,8.63932543514727e-05,0.000277866999593487,1.01650705863765e-06
0.358129138509781,0.0368302191365924,0.0935355693162053,0.127822525238762,0.0710861857413151,0.00188389867706355,0.135829094616282,0.118403031853444,0.0319320825762272,0.0120569515332067,0.00772398457596056,2.57881469330632e-07,2.17808471507003e-06,3.185219247458e-05,0.000690448865143792,2.41139030664135e-06,4.89873339527246e-08,1.45536042770543e-07,0.000117743667316472,0,6.21686563430972e-05,0.000424819151677831,4.99233149421841e-07,5.64227653780534e-05,6.72551827711688e-06,2.58094118757707e-06,3.6076659665767e-06,0.000796020010228922,2.00635209107268e-05,9.60788325302411e-06,1.28105110040322e-06,6.16034867399781e-06,8.62550569727965e-09,1.14917819300877e-06,5.94370032613551e-05,1.72376728951315e-05,2.26067841247626e-07,8.97352687083835e-07,8.5905779674098e-05,5.68937400473193e-05,0.000298597940314573,2.64687764127429e-06,1.41292400779766e-05,2.97655990976041e-05,8.57799541857678e-05,1.37776415000043e-07,1.89331817044887e-05,0,1.17743667316472e-05,2.03485270799578e-06,0.00112186166219135,4.95465352067714e-06,1.30930958055917e-06,7.08345902575895e-06,1.77373483498349e-08,3.10843281715486e-07,2.08170803815522e-06,0.000277875054866874,7.96150430270833e-07,2.90120396267787e-05,1.6955088093572e-06,0.000114917819300877,0.000277875054866874,6.92866434137684e-06
0.352965270100854,0.0360680357971911,0.0951848966091647,0.126334563888557,0.0710861857413151,0.00221808776292886,0.134049651759614,0.122477019953029,0.031921176066498,0.0122477019953029,0.00916166684688009,2.57881469330632e-07,2.17808471507003e-06,3.185219247458e-05,0.000691808634324961,2.12849545942328e-06,4.89873339527246e-08,1.45536042770543e-07,0.000116180922099274,0,6.201001876362e-05,0.000427222990859777,0,6.21064573620082e-05,6.47953727193041e-06,2.49942648565321e-06,3.60003654839794e-06,0.000796020010228922,1.89250093602471e-05,9.83839274368444e-06,9.70153409011074e-07,6.38907713843819e-06,8.62550569727965e-09,1.06470070308785e-06,6.23957731571728e-05,1.55804006141e-05,2.19153918000439e-07,8.97352687083835e-07,8.37087034009676e-05,5.35766567772122e-05,0.000322104918616626,3.29299052084532e-06,1.38181059597552e-05,3.50072112149208e-05,8.57799541857678e-05,1.37776415000043e-07,1.75518249066545e-05,0,1.1098493687091e-05,2.03485270799578e-06,0.00118715914615888,0,1.30746829259072e-06,9.64385983882115e-06,1.77373483498349e-08,2.93946035773607e-07,6.19135801652318e-06,0.000298959655003456,7.96150430270833e-07,3.0571035689063e-05,1.59000358719018e-06,0.000114761932081972,0.00030088842697122,0.00138462342014267
0.361992578805783,0.0353990142083159,0.0953702164708085,0.117494600351006,0.0714570526173185,0.00178877997329256,0.124273134986641,0.12549703707363,0.0401063299275068,0.012992191384967,0.00913219249523043,2.57881469330632e-07,2.17808471507003e-06,3.185219247458e-05,0.000647726642960673,2.12849545942328e-06,4.89873339527246e-08,1.45536042770543e-07,0.000112975577260583,0,5.74292517741295e-05,0.000384116962685981,0,5.46048623426149e-05,6.59024200686732e-06,2.82438943151457e-06,3.38926731781748e-06,0.000796020010228922,1.89250093602471e-05,9.41463143838188e-06,9.70153409011074e-07,6.38907713843819e-06,8.62550569727965e-09,9.41463143838188e-07,5.83707149179677e-05,1.5063410301411e-05,2.19153918000439e-07,8.97352687083835e-07,7.90850939634042e-05,5.36633991987767e-05,0.000278673090576104,3.29299052084532e-06,1.22390208698964e-05,2.54195048836311e-05,8.57799541857678e-05,1.37776415000043e-07,1.78877997329256e-05,0,1.22390208698964e-05,2.03485270799578e-06,0.000996068006180803,0,1.12975577260583e-06,7.04967897292549e-06,1.77373483498349e-08,2.93946035773607e-07,2.35365785959547e-06,0.000260785290843178,7.96150430270833e-07,2.73024311713075e-05,1.69463365890874e-06,0.000113917040404421,0.000300326742884382,1.1961546887429e-06
0.360129947917394,0.0360412994771927,0.0938772067534208,0.127088037685284,0.0707617136332318,0.00198132798173049,0.133315068485009,0.121049704788582,0.0302860134350232,0.0119823168418939,0.00877445249052074,2.57881469330632e-07,1.41523427266464e-06,3.185219247458e-05,0.000742526248391379,2.07567693324147e-06,4.89873339527246e-08,1.45536042770543e-07,0.000122653636964268,0,5.75528604216952e-05,0.000402870022951866,0,5.28354128461464e-05,6.6044266057683e-06,2.55685658594744e-06,3.52865078651049e-06,0.000796020010228922,1.69828112719756e-05,9.81229095714147e-06,9.70153409011074e-07,5.84963499368049e-06,8.62550569727965e-09,1.10388273267842e-06,6.05720268700464e-05,1.69828112719756e-05,2.26437483626342e-07,8.97352687083835e-07,7.73661402390001e-05,5.80246051792501e-05,0.000300029665804903,3.29299052084532e-06,1.44353895811793e-05,3.01916644835122e-05,8.57799541857678e-05,1.37776415000043e-07,2.45307273928537e-05,0,1.160492103585e-05,2.03485270799578e-06,0.00108406945286111,4.81179652705976e-06,1.31145042600256e-06,7.45356716936708e-06,1.77373483498349e-08,3.1135153998622e-07,2.26437483626342e-06,0.000262290085200512,7.96150430270833e-07,2.7361195938183e-05,1.69828112719756e-06,0.000105670825692293,0.00026983800132139,1.23789126116325e-06
0.358057185840088,0.037220476491465,0.0953299959118134,0.124384755621988,0.0696934432263656,0.00191799394165202,0.131411070061703,0.125903958744088,0.0319032655641129,0.011204123025492,0.00831763709350086,2.57881469330632e-07,2.17808471507003e-06,3.185219247458e-05,0.000668829174504795,2.12849545942328e-06,4.89873339527246e-08,4.93741014682699e-07,0.000116788740011485,0,5.06844141610817e-05,0.000404898164492169,0,5.84893202008736e-05,6.00085233229742e-06,2.34526981974282e-06,3.57012733693644e-06,0.000873541795207852,1.98825708604918e-05,8.78289304964417e-06,9.70153409011074e-07,7.8049060397919e-06,8.62550569727965e-09,9.96977048878527e-07,6.01984237132368e-05,1.55804006141e-05,2.08890429288834e-07,2.85800087345178e-06,8.30814207398773e-05,5.98186229327116e-05,0.000262632239733143,2.83901083442552e-06,1.31790870842228e-05,2.65005994611426e-05,8.57799541857678e-05,1.37776415000043e-07,3.14285145884564e-05,0,1.07673521278881e-05,2.03485270799578e-06,0.00107483620888618,0,1.26283759524613e-06,8.2986470544746e-06,1.77373483498349e-08,2.81052577588613e-07,2.86749589296491e-06,0.000252187718268702,7.96150430270833e-07,2.47820009292663e-05,1.57617323917939e-06,9.92229539121963e-05,0.000270608056124172,1.75893258391735e-06
