,Laboratory,SiO2,TiO2,Al2O3,Fe2O3T,Fe(II)O,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,CO2,LOI,NA,Ag,As,B,Ba,Be,Bi,Br,C(tot),C(org),Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Ga,Gd,Ge,Hf,Hg,Ho,I,In,Ir,La,Li,Lu,Mo,Nb,Nd,Ni,Pb,Pr,Rb,Re,S,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Tl,Tm,U,V,W,Y,Yb,Zn,Zr
53,J51,68.51,0.52,15.8,2.79,NA,NA,0.72,1.9,4.42,4.56,0.13,NA,NA,NA,NA,NA,NA,NA,2027,3.85,NA,NA,NA,NA,NA,169,NA,NA,19,NA,14,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,92,30,NA,NA,13,NA,NA,31,NA,164,NA,NA,NA,3.5,NA,NA,NA,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,86,316
54,J52,65.99,0.5,15.74,2.84,1.92,0.04,0.92,1.82,3.78,4.54,0.16,NA,NA,9.53,NA,NA,NA,NA,1887,NA,NA,NA,NA,NA,NA,174.5,NA,7,2,4,14,2.028,0.958,1.7,NA,24,6.346,NA,9,NA,0.33,NA,NA,NA,94.5,NA,0.086,5,15,57,8,31,16.369,164,NA,NA,NA,4,NA,7.61,3,460,NA,0.584,NA,22,NA,0.078,2,29,NA,13,0.64,87,294
55,J52.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,6,NA,36,NA,NA,NA,NA,NA,NA,NA,932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,J53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.321,1.714,NA,2346,5.265,0.305,NA,NA,NA,0.204,199.7,NA,4.12,25.41,1.566,19.36,2.897,1.322,2.025,NA,43.48,6.615,NA,12.73,NA,0.466,NA,0.109,NA,103.9,NA,0.127,3.489,11.44,69.96,27.47,18.39,20.78,161.5,NA,NA,4.268,55.9,43.44,9.417,6.517,480.7,0.028,0.653,0.07,40.45,0.215,0.15,3.305,34.78,1.07,9.404,0.989,90.78,373.2
57,J54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,4.46,0.058,NA,NA,NA,NA,172,NA,4.54,17.6,1.5,16,2.18,0.88,1.35,NA,24.2,4.11,1.16,8.86,NA,0.37,NA,NA,NA,93,31.2,0.11,2.23,13.2,54.2,7.29,31.9,16.6,169,NA,NA,NA,3.5,NA,7.34,2.44,468,0.92,0.47,NA,24.9,0.92,0.13,2.36,34.9,NA,10.1,0.76,88.5,369
58,J55,69.65,0.49,15.92,3.08,NA,0.04,0.75,1.82,4.01,4.53,0.11,NA,NA,NA,NA,NA,NA,NA,1926.7,NA,NA,NA,NA,NA,NA,156.2,24.8,3.3,21.4,1.6,13.8,NA,NA,NA,NA,21,NA,NA,7,NA,NA,NA,NA,NA,95.8,NA,NA,2,11.3,49.3,5.6,30.4,NA,162.5,NA,NA,2.8,3.9,0.1,4.7,5.8,446.6,1.1,NA,NA,23.7,NA,NA,1.7,37.5,1.2,7.6,NA,78,314
59,J55.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,J56,69.11,0.467,16.09,2.74,NA,0.03,0.682,1.77,3.91,4.56,0.132,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,J57,68.76,0.48,15.9,2.86,NA,0.03,0.75,1.85,3.95,4.56,0.14,NA,NA,0.4,NA,NA,NA,NA,1840,4.61,0.035,NA,NA,NA,0.041,161,NA,18.8,21.4,1.38,13.9,2.3,0.9,1.4,NA,33,4.39,NA,1.81,NA,0.38,NA,NA,NA,89.6,31.7,0.11,1.64,12.3,55.1,4.22,28.3,18.1,166,NA,NA,NA,3.11,NA,7.2,NA,443,1.31,0.47,NA,25.6,0.89,0.12,1.5,36.6,0.27,10.6,0.8,88.1,265
62,J58,68.32,0.48,15.79,2.88,2.06,0.04,0.8,1.84,3.96,4.53,0.13,0.39,0.17,0.42,NA,0.25,0.58,NA,1780,4.26,0.048,NA,NA,NA,0.086,138.8,NA,5.52,18.5,1.71,20.3,2.18,1.03,2.45,1200,22.7,7.56,1.73,10.6,0.01,0.38,NA,0.029,NA,83.4,30.6,0.12,1.81,12.5,51.8,8.65,29.3,15.3,136.2,NA,85,0.16,3.67,0.076,6.99,2.25,349.3,1,0.64,0.015,23.4,0.88,0.12,1.7,32.8,0.26,8.93,0.76,96,396.3
63,J59,71.5527963179005,0.473877494438592,16.7822944515541,2.93701557306293,NA,0.040975974653584,0.61142862925699,2.06377445519958,4.26403242100884,4.55091849477264,0.143438012535864,NA,NA,0.32,NA,NA,NA,NA,1890.25071034701,3.73981447599237,0.038199283765767,NA,600,NA,0.065797129773296,172.241839178377,NA,5.9049717875,19.2931526532595,1.25345064718879,18.9299489540916,2.18645157264452,0.884762312841086,1.59349027431113,NA,26.9164977847691,5.92867112044406,NA,NA,0.0104695,0.350105238675358,NA,NA,NA,94.3964410700955,33.6566143409121,0.117647873296516,2.18665596221094,11.9510763,57.7373578874151,8.96758320845384,29.0279675997777,18.3097264050909,172.938530262594,NA,100,0.219192043161709,3.22475367144753,NA,7.65984233331103,NA,527.294178296983,3.37980775833333,0.60635296430162,24.2549940889533,20.4393354479873,0.699468696268283,0.128044908684061,1.61521368709832,44.4287341449538,0.630954435023517,8.96228657879113,0.787383375244922,146.469325929034,330.595225924102
64,J60,69.39,0.456,15.34,2.72,NA,0.0367,0.658,1.91,3.89,4.56,0.136,NA,NA,NA,NA,NA,NA,NA,2039,3.5,NA,NA,NA,NA,0.057,155.3,57,4.75,16,1.38,16.1,1.95,0.757,1.24,1254,23.4,4.39,NA,NA,NA,0.313,NA,NA,NA,82.8,30.9,0.078,2.15,12.7,50.9,6.96,30.87,15.67,174.3,NA,176,0.183,3.18,NA,6.84,2.28,467,NA,0.419,NA,24.3,0.874,0.094,NA,35.6,NA,9.4,0.584,90.3,330
65,J61,68.47,0.49,15.68,3.1,NA,0.05,0.73,1.88,3.4,4.8,0.13,0.26,0.2,0.42,NA,NA,NA,NA,1970,4,NA,NA,NA,NA,NA,160,NA,4.2,17,1.5,19,2.1,0.82,1.38,NA,23,4.8,NA,8.2,NA,0.36,NA,NA,NA,85,32,0.12,NA,14.2,55,NA,30,16.5,160,NA,NA,NA,NA,NA,7.5,2.9,440,NA,0.48,NA,25,0.85,0.12,2.3,34,0.45,8.6,0.77,85,320
66,J62,68.79,0.47,15.25,2.89,NA,0.035,0.75,1.801,3.89,4.481,0.124,NA,NA,0.31,NA,NA,NA,NA,2160,4.75,NA,NA,NA,NA,NA,191.2,NA,4.22,19.2,1.8,15.13,2.1,0.83,1.32,NA,23.26,3.78,NA,2.06,NA,0.35,NA,NA,NA,100,34.8,0.08,NA,14.3,55.9,8.2,28.9,17.45,167,NA,NA,NA,3.06,NA,7.5,NA,552,0.98,0.44,NA,23.8,NA,NA,1.84,37.5,NA,10.4,0.63,NA,88.4
67,J62.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA
68,J63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2199.712,NA,NA,NA,NA,NA,NA,164.314,NA,NA,NA,1.512,NA,1.946,0.727,1.313,NA,NA,3.675,NA,8.701,NA,0.315,NA,NA,NA,89.572,30.734,0.069,2.372,18.471,53.604,NA,31.97,16.803,NA,NA,NA,NA,NA,NA,6.975,NA,447.31,0.974,0.423,NA,26.244,0.913,0.086,2.125,NA,NA,7.951,0.679,NA,402.926
69,J64,68.67,0.51,15.91,2.84,NA,0.032,0.77,1.81,4.01,4.69,0.13,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,J65,68.19,0.48,15.88,2.85,NA,0.04,0.74,1.79,4.03,4.54,0.136,NA,NA,0.41,NA,0.35,NA,NA,2040,3.86,0.06,NA,NA,NA,NA,170.5,NA,4.5,15,1.49,NA,2.2,0.89,1.34,NA,25,3.85,0.21,8.4,NA,0.35,NA,NA,NA,85.8,NA,0.11,2.03,13.7,52.5,7.4,32.8,16.55,175,NA,NA,0.21,3,NA,7.49,NA,486,0.9,0.46,NA,23,0.7,0.11,2,NA,NA,9.4,0.72,96,338
71,J66,68.79,0.4,16.39,2.56,NA,0.03,0.81,1.91,3.77,4.59,0.15,NA,NA,0.3,NA,NA,NA,NA,2027,NA,NA,NA,NA,NA,NA,199,NA,6,20,NA,23,2.3,0.99,1.87,NA,NA,5.13,NA,NA,NA,0.91,NA,NA,NA,110,NA,0.1,NA,NA,62.07,8,34.8,19.49,158,NA,NA,NA,NA,NA,8.46,NA,544,NA,0.51,NA,NA,NA,0.12,NA,43,NA,10.97,0.8,84,327
72,J67,67.972,0.482,15.875,2.835,1.84,0.041,0.787,1.819,3.985,4.573,0.133,NA,NA,NA,NA,0.09,0.85,NA,2002.29,4.06,0.07,NA,NA,NA,0.037,171.28,45,4.48,21,1.56,21.48,1.71,0.79,1.18,895,23.95,3.44,1.12,8.7,NA,0.28,NA,NA,NA,85.76,NA,0.07,2.122,13.36,51.79,5,30.23,15.41,174.2,NA,774,1.29,5,NA,6.41,3.06,491.34,0.84,0.38,NA,15.15,NA,NA,2.09,32.56,0.47,11,0.6,86,358.74
73,J68,68.598,0.462,15.69,2.909,NA,0.04,0.734,1.83,4.005,4.569,0.133,NA,NA,0.38,NA,NA,1,NA,1745,NA,NA,NA,NA,NA,NA,183,NA,NA,15,NA,8,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,11,NA,4,34,NA,176,NA,NA,NA,4,NA,NA,NA,484,NA,NA,NA,25,NA,NA,2,34,NA,9,NA,86,284
74,J69,NA,0.48,14.26,2.59,NA,0.03,0.54,1.72,4.46,4.99,0.12,NA,NA,0.41,NA,NA,0.57,NA,2161.75,4.19,NA,NA,NA,NA,NA,164.98,NA,4.59,18.57,1.21,16.54,3.42,1.12,1.92,NA,20.93,7.19,0.8,1.58,NA,0.31,NA,NA,NA,89.07,25.99,0.08,NA,15.73,52.8,7.14,31.57,16.55,180.76,NA,NA,0.13,3.15,NA,6.71,1.91,470.64,1,0.73,NA,24.39,NA,0.09,1.94,33.24,NA,7.52,0.55,76.85,70.39
75,J70,69.6183,0.48255,15.48385,2.5435,0.5,0.03055,1.01,1.8284,3.745,4.3296,0.17,NA,NA,0.37,NA,0.479980166666667,0.7840355,NA,2061.79210633333,3.3118475,0.0434115,NA,NA,NA,0.0513546,113.1168465,NA,4.713586,18.683493,1.30007233333333,19.211808,1.4082945,0.5747195,0.848526,NA,25.2356185,2.10307,1.141045,2.853662,NA,0.218592,NA,NA,NA,50.4481165,30.2176895,0.0553435,2.3310636,12.1032326666667,28.72687,6.556718,32.0121795,8.8413695,165.044,NA,NA,0.145949666666667,2.18050283333333,0.203028666666667,4.1474755,2.18110033333333,356.873677333333,0.9922985,0.2612495,0.011645666666667,14.098419,0.87329,0.0762485,1.921876,36.590586,0.282661,5.97618525,0.4479845,145.276273,108.576648
76,J71,69.1,0.48,16.12,2.98,NA,0.04,0.79,1.92,4.03,4.51,0.14,NA,NA,0.36,NA,NA,NA,NA,1956,4.23,NA,NA,NA,NA,NA,172.8,NA,5.1,18.3,1.75,14.9,2.17,1.02,1.53,NA,23.1,6.1,NA,9.1,NA,0.4,NA,NA,NA,95.1,NA,0.11,2.5,13.9,56.7,6.3,34.5,17.8,171.8,NA,NA,NA,3.3,NA,7.7,NA,465.2,0.98,NA,NA,25.7,0.8,0.13,2.3,35.9,0.49,10.5,0.78,106.9,364.5
77,J72,67.58,0.472,15.73,2.883,NA,0.045,0.761,1.788,3.827,4.549,0.132,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460
78,J73,68.53,0.477,15.84,2.896,NA,0.037,0.724,1.802,4.013,4.664,0.134,NA,NA,0.32,NA,NA,NA,NA,1821,NA,NA,NA,NA,NA,NA,NA,NA,5,28,NA,11,NA,NA,NA,1234,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,7,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,84,343
79,J74,68.492,0.4774,16.112,2.821,NA,0.0349,0.782,1.849,4.077,4.585,0.1425,NA,NA,0.325,NA,NA,NA,NA,1869,4.76,0.101,NA,NA,NA,NA,166,NA,4.42,19.33,1.52,17.02,1.999,0.884,1.501,NA,22.44,5.291,NA,7.722,NA,0.336,NA,NA,NA,92.112,32.283,0.083,1.819,11.965,53.966,7.33,32.14,16.256,167,NA,NA,0.163,4.47,NA,7.061,2.17,463.1,0.861,0.518,NA,24.16,NA,0.109,1.436,33.49,0.1,11.803,0.573,91.06,312.1
80,J75,68.381,0.46,16.153,2.915,NA,0.038,0.75,1.889,3.895,4.664,0.138,NA,NA,NA,NA,NA,0.577,NA,1966.667,3.597,NA,0.327,NA,NA,NA,164.667,NA,4.467,18.267,1.437,18.5,1.963,0.95,1.38,NA,24.1,4.88,NA,8.687,0.01,0.46,NA,NA,NA,90.8,33.567,0.108,NA,12.867,55.3,6.333,30.7,15.933,165,NA,NA,0.209,3.233,0.087,7.933,NA,463.333,0.973,0.451,NA,25.033,0.81,0.11,2.147,36.6,0.577,9.51,0.794,103.967,351
81,J76,68.66,0.47,15.89,2.86,NA,0.035,0.73,1.8,4.05,4.63,0.13,NA,NA,0.3,NA,NA,NA,NA,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,J77,NA,NA,NA,NA,2.21,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,1824,NA,NA,NA,407,NA,NA,170,NA,NA,NA,1.54,NA,2.13,0.81,1.35,NA,21,4.4,NA,7.47,NA,0.33,NA,NA,NA,75.3,NA,0.09,NA,14.5,52.2,NA,29.5,16.7,154,NA,NA,NA,3.07,NA,6.96,NA,473,NA,0.44,NA,23.4,NA,0.11,1.59,33,NA,8.93,0.65,87,315
83,J77.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,11,NA,NA,NA,1109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,J78,65.01,NA,5.28,3.5,NA,NA,0.69,8.01,1.71,4.1,0.09,0.1,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,J79,67.96,0.479,16.17,2.85,NA,NA,0.738,1.79,3.87,4.59,0.14,NA,NA,0.29,NA,NA,NA,NA,2050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,J80,66.19,0.44,16.7,2.71,NA,0.03,0.83,2.06,4.08,5.28,0.23,NA,NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,J81,68.4,0.472,15.69,2.85,NA,NA,0.719,1.77,3.81,4.37,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,J82,68.73,0.49,16.14,2.82,1.66,0.0417,0.688,1.8,3.83,4.54,0.13,0.14,NA,0.31,NA,NA,NA,NA,1804,NA,NA,NA,NA,NA,NA,159,NA,NA,18,NA,13,2.16,0.88,1.59,NA,22,3.9,NA,5,NA,0.35,NA,NA,NA,94,29.9,0.1,NA,11,52,NA,28,16.3,160,NA,NA,NA,NA,NA,7.1,NA,456,0.8,0.46,NA,23,NA,0.13,2.3,31,NA,10,0.77,83,326
89,J83,68.889,0.4573,15.752,2.86,NA,0.037,0.6916,1.772,3.918,4.225,0.1373,NA,NA,NA,NA,NA,NA,NA,1817,NA,NA,NA,927.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,462.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339.1
90,J84,71.79,0.452,13.7,2.814,NA,0.033,0.775,1.96,3.49,4.42,0.195,NA,NA,NA,NA,NA,NA,NA,1850,NA,NA,NA,NA,NA,NA,270,160,NA,40,NA,50,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,20,NA,160,NA,10,NA,NA,NA,NA,NA,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,105,380
91,J85,68.29,0.481,16.02,2.908,2.15,0.025,0.783,1.836,3.993,4.627,0.135,0.23,0.075,0.462,NA,0.32,1.17,NA,2024,2.92,NA,NA,470,NA,NA,164.7,NA,4.89,NA,1.72,14.7,2.08,0.891,1.33,NA,25.4,3.87,1.04,8.61,0.0097,0.35,NA,NA,NA,92.9,31.5,0.1,2.1,12.9,53.4,8,28.2,16.9,176.5,NA,165,0.3,NA,NA,7.12,2.3,464.4,0.83,0.47,NA,24.4,0.8,0.13,2.28,36.4,NA,9.89,0.77,85.9,329.7
92,J86,69,0.52,15.87,2.81,NA,0.033,0.71,1.83,3.89,4.52,0.14,NA,NA,0.36,NA,NA,NA,NA,1843,NA,0.04,NA,NA,NA,NA,159.4,NA,5,18,1.6,13,2.4,1.4,NA,NA,23.6,NA,NA,5.8,NA,0.4,NA,0.033,NA,95,NA,0.12,2.4,11.9,54.9,5.1,30.4,18,163.4,NA,NA,NA,NA,NA,7,NA,487,NA,NA,NA,23,0.91,0.11,1.5,35.3,7.6,10.2,0.78,84,363
93,J87,69.0487863629148,0.460725873613879,16.1855002556528,2.85449726043381,NA,0.036056807500217,0.751183489587846,1.82187035674705,4.02634350419085,4.64732185558347,0.136214606111929,0.187996187994185,NA,0.300473395835138,NA,NA,NA,NA,1959.08754242309,3.84605946668977,NA,NA,7263.37678345567,NA,0.114179890417353,165.230320369743,119.987863748192,4.51711671738824,19.0299817362254,1.54042694264814,14.6230385973101,2.19245421161039,0.902421765491532,1.39800255302229,926.758858328149,23.8075087300041,3.81601212710626,1.02337,5.91932589795222,NA,0.352855924509064,NA,0.030347812979349,NA,90.2622081088755,30.5481285765724,0.098054484840867,2.9646708389067,12.7000088639652,55.7678622670017,7.21136150004332,30.2476551807373,17.1830719298254,170.528667916302,NA,39.2618570557914,0.170268257639912,3.40536515279823,NA,7.40967394129451,2.70426056251624,461.627293801384,0.906428077436,0.438991631315137,NA,24.6147805868145,0.812279746740991,0.115982730792363,2.03320331181777,33.9534937293706,0.260410276390453,9.79543270422551,0.704109324240341,82.1293948616045,254.40080847375
94,J88,68.08,0.477,15.97,2.89,NA,0.034,0.75,1.83,4.03,4.64,0.135,NA,NA,0.26,NA,NA,NA,NA,1868,NA,NA,NA,NA,NA,NA,162,NA,4.1,16.5,NA,1.8,NA,NA,NA,NA,21,NA,NA,6.6,NA,NA,NA,NA,NA,106,NA,NA,2.3,12.6,46.6,5.6,31.5,NA,172,NA,NA,NA,3.2,NA,NA,NA,469,NA,NA,NA,28.3,NA,NA,3.6,33,NA,9.5,1.2,84.7,328
95,J89,68.66,0.49,16.09,2.92,2.08,0.04,0.76,1.84,4.16,4.58,0.14,0.15,NA,0.32,NA,177,0.99,NA,2010,4.7,NA,NA,NA,NA,0.091,165,NA,4.75,16,1.66,19.7,2.24,0.94,1.52,NA,26.1,4.73,NA,7.54,0.023,0.36,NA,NA,NA,92.51,34.6,0.12,1.83,13.4,54.8,8.66,26.4,17.5,199,NA,NA,0.26,4.42,NA,8.59,1.95,473,1.1,0.56,NA,23,0.87,0.18,2.04,39,0.25,9.4,0.74,85.3,308
96,J90,67.8,0.47,15.9,2.82,NA,0.034,0.73,1.79,3.97,4.47,0.129,NA,NA,0.295,NA,NA,NA,NA,1842,NA,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,9.57,NA,NA,NA,NA,22.2,NA,NA,9.1,NA,NA,NA,NA,NA,101,NA,NA,NA,13.9,49.7,NA,29,NA,169,NA,NA,NA,NA,NA,NA,NA,449,NA,NA,NA,24.7,NA,NA,NA,30.4,NA,9.29,NA,80.9,321
97,J91,68.242,0.477,15.971,2.933,NA,0.04,0.763,1.81,4.067,4.592,0.134,NA,NA,0.35,NA,NA,NA,NA,1871,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,464,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,94,334
98,J92,68.8971013864042,0.465724776943061,16.106125,2.85084038810842,NA,0.033875,0.786944669070512,1.82056250312986,3.93186733874093,4.5805,0.131471243917777,NA,NA,0.39,NA,NA,NA,NA,1851,NA,NA,NA,NA,NA,NA,166,NA,6.2,20.2,NA,12,NA,NA,NA,NA,23.9,NA,NA,NA,NA,NA,NA,NA,NA,88.2,NA,NA,1.9,12.6,59.4,5.8,32.2,NA,168,NA,NA,NA,3.3,NA,NA,1.6,472,NA,NA,NA,23.7,NA,NA,0.7,36.2,NA,10.2,NA,86.5,319
99,J93*,68.86,0.47,15.24,3,NA,0.037,0.72,1.8,3.87,4.53,NA,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,160,NA,4.4,17.15,1.49,15.62,2.04,0.78,1.51,NA,24.04,4.44,NA,NA,NA,0.33,NA,NA,NA,88.86,NA,0.075,NA,NA,51.92,6.43,32.17,16.2,NA,NA,NA,NA,NA,NA,7.15,2.21,461.4,NA,NA,NA,22.66,NA,0.098,NA,35.81,NA,NA,0.58,93.72,NA
